"","V1","V2"
"1",0.148911168252586,0.469605775658759
"2",0.145328616160344,0.505471669556709
"3",0.467059050292113,0.61610293621399
"4",0.587712321166347,0.470255570944428
"5",0.145880483850034,0.502237850777496
"6",0.170808151728446,0.555602132075798
"7",0.436781289552357,0.658961558337822
"8",0.877441214250751,0.46459593769183
"9",0.243525226355887,0.479161256610318
"10",2.37838992501889,0.606043575764131
"11",3.61833962968139,0.631056045072574
"12",3.69482058891217,0.474437201639946
"13",0.690674695694378,1.38733342990241
"14",1.99476601871926,1.51202559471649
"15",2.86967962895978,0.646441940876306
"16",4.39256772508859,0.463519854907692
"17",0.168258798980106,0.49258330636442
"18",0.165301355612459,0.489172926702465
"19",0.620621530150953,0.656496745366451
"20",1.04569369250229,0.447510637582566
"21",1.01860597909823,0.633057257068223
"22",1.25602379286174,0.618479253173429
"23",1.50278799850087,0.643661990124833
"24",1.76296188547095,0.458280748619124
"25",0.701316698754584,0.901167162340394
"26",18.5318287635295,0.817822335932266
"27",0.667891625302701,0.722496838424609
"28",9.74098297955068,0.4460679214775
"29",3.06806511830022,0.773450128330991
"30",8.22034754782205,0.802126103892856
"31",1.74193866857359,1.21530499552668
"32",515.961014671406,0.511074026099619
"33",0.165477661558278,0.55619959311663
"34",11.4020117606182,0.490698742612279
"35",48.638030880931,0.558498336852864
"36",2.7917406053638,0.441131256103772
"37",0.940677481706008,0.598551967863007
"38",8.45804355134795,0.476987873524177
"39",5.36587633660633,0.502323587223253
"40",2.40373380594596,0.458848803883237
"41",1.68658716055198,0.734906175637172
"42",16.2624177122543,0.619679180747232
"43",1.76684107715165,0.600857522252917
"44",41.767395389237,0.428567082103901
"45",2.63756578586033,0.668165456963773
"46",20.4364423616238,0.618607595910438
"47",1.33671302095517,2.15534118796654
"48",1.33671302095517,2.15534118796654
"49",0.713552492305349,0.414108885889705
"50",0.677521553641964,0.421347435668836
"51",12.6207361838233,0.493010439908949
"52",9.07098180357345,0.457709967640417
"53",0.873587253609324,0.503099030811495
"54",24.5902568258547,0.474319541172901
"55",0.928972670352662,0.492283362819723
"56",0.952318152144189,0.459126828725121
"57",2.93155805771063,0.793607779329115
"58",17.0913612555206,0.793125056937247
"59",1.09092487527413,0.775932379710146
"60",1.09092487527413,0.775932379710146
"61",14.8746387917345,0.821207823791887
"62",15.9742305376384,0.783373576479979
"63",15.9742305376384,0.783373576479979
"64",15.9742305376384,0.783373576479979
